title,price,area,rooms,url,city,address,district
"Mieszkanie, 48,20 m², Toruń",550000,48.2,3,https://www.otodom.pl/pl/oferta/mieszkanie-48-20-m-torun-ID4vKTQ,Toruń,ul. Ludwika Rydygiera ,Rubinkowo
Jar | Watzenrodego 43 | 2 pokoje | 35 m2,465000,35,2,https://www.otodom.pl/pl/oferta/jar-watzenrodego-43-2-pokoje-35-m2-ID4vZXf,Toruń,no address,Wrzosy
Mieszkanie Zieleniec bezpośrednio,545000,54,3,https://www.otodom.pl/pl/oferta/mieszkanie-zieleniec-bezposrednio-ID4vKTn,Toruń,ul. Adama Asnyka ,Bydgoskie Przedmieście
"Jar | Watzenrodego | 3 Pokoje | 46,68 m2",541500,46.68,3,https://www.otodom.pl/pl/oferta/jar-watzenrodego-3-pokoje-46-68-m2-ID4x1Xc,Toruń,no address,Wrzosy
2-pokojowe mieszkanie 38m2 + balkon,no price,38.94,2,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-38m2-balkon-ID4uEyB,Toruń,ul. Jana Heweliusza ,Wrzosy
Trzypokojowe z loggią - os. Kołłątaja.,465000,58.49,3,https://www.otodom.pl/pl/oferta/trzypokojowe-z-loggia-os-kollataja-ID4vNz9,Toruń,no address,Stare Miasto
Unikatowe 2-poziomowe z antresolą – Promocja!,699000,78.83,4,https://www.otodom.pl/pl/oferta/unikatowe-2-poziomowe-z-antresola-promocja-ID4x1PO,Toruń,no address,Wrzosy
Kawalerka premium w Toruniu!10 min do Starówki!!,245001,25.3,1,https://www.otodom.pl/pl/oferta/kawalerka-premium-w-toruniu-10-min-do-starowki-ID4vsIE,Toruń,no address,Mokre
Przestronne mieszkanie w Kamienicy,495000,66,3,https://www.otodom.pl/pl/oferta/przestronne-mieszkanie-w-kamienicy-ID4x1Oo,Toruń,no address,Jakubskie Przedmieście
"Rubinkowo I z windą,2-pokojowe,40m,ul.Łyskowskiego",359000,40,2,https://www.otodom.pl/pl/oferta/rubinkowo-i-z-winda-2-pokojowe-40m-ul-lyskowskiego-ID4vkY8,Toruń,no address,Rubinkowo
"ul. Głowackiego, 2-pokojowe z windą,",327000,34,2,https://www.otodom.pl/pl/oferta/ul-glowackiego-2-pokojowe-z-winda-ID4wUmg,Toruń,no address,Mokre
Trzypokojowe z balkonem przy Wsb.,379000,49,3,https://www.otodom.pl/pl/oferta/trzypokojowe-z-balkonem-przy-wsb-ID4vvkP,Toruń,no address,Stare Miasto
Nowe mieszkanie w stanie deweloperskim. Lubicka,509000,48.11,2,https://www.otodom.pl/pl/oferta/nowe-mieszkanie-w-stanie-deweloperskim-lubicka-ID4wFqN,Toruń,no address,Rubinkowo
Atrakcyjne w cegle na Jakubskim z opcją 3 pokoi,370000,52.8,2,https://www.otodom.pl/pl/oferta/atrakcyjne-w-cegle-na-jakubskim-z-opcja-3-pokoi-ID4vKmG,Toruń,no address,Jakubskie Przedmieście
"Niezwykłe Osiedle -3 pok, 1 piętro, garaż",719999,70,3,https://www.otodom.pl/pl/oferta/niezwykle-osiedle-3-pok-1-pietro-garaz-ID4x1KY,Toruń,no address,Na Skarpie
Inwestycja premium w Toruniu!10 min do Starówki!!,320700,33,2,https://www.otodom.pl/pl/oferta/inwestycja-premium-w-toruniu-10-min-do-starowki-ID4x1KQ,Toruń,no address,Mokre
"53m, parter, chełmińskie przedmieście",325000,53,2,https://www.otodom.pl/pl/oferta/53m-parter-chelminskie-przedmiescie-ID4vMza,Toruń,ul. Leona Czarlińskiego ,Chełmińskie Przedmieście
"Nowe  , 2 pokoje , Brak PCC , Brak Prowizji",509000,38,2,https://www.otodom.pl/pl/oferta/nowe-2-pokoje-brak-pcc-brak-prowizji-ID4vqT5,Toruń,ul. Teodora Donimirskiego ,Rubinkowo
"Jar. 4 pokoje, antresola, 8720m2 !!!",759892,87.14,4,https://www.otodom.pl/pl/oferta/jar-4-pokoje-antresola-8720m2-ID4vaRN,Toruń,ul. Jana Heweliusza ,Wrzosy
"Jar, 3 pokoje, wyjątkowa oferta!",528530,48.41,3,https://www.otodom.pl/pl/oferta/jar-3-pokoje-wyjatkowa-oferta-ID4vdHN,Toruń,ul. Jana Heweliusza ,Wrzosy
Promocja!! Nowoczesne 2 pokojowe mieszkanie,439000,48.7,2,https://www.otodom.pl/pl/oferta/promocja-nowoczesne-2-pokojowe-mieszkanie-ID4vR0q,Toruń,ul. Tymona Niesiołowskiego ,Rubinkowo
"Przestronne mieszkanie, balkon, piwnica, klima.",698000,75.04,3,https://www.otodom.pl/pl/oferta/przestronne-mieszkanie-balkon-piwnica-klima-ID4vlnw,Toruń,ul. Stefana Burhardta ,Podgórz
"3 pokoje, Podgórz, 74 m2, garaż, rolety, balkon.",529000,74,3,https://www.otodom.pl/pl/oferta/3-pokoje-podgorz-74-m2-garaz-rolety-balkon-ID4vK8z,Toruń,no address,Podgórz
"Jar, 3 pokoje, oferta promocyjna!",512844,48.41,3,https://www.otodom.pl/pl/oferta/jar-3-pokoje-oferta-promocyjna-ID4x1CC,Toruń,ul. Jana Heweliusza ,Wrzosy
"3 pokoje, balkon, ul. Bema, 3 piętro winda",559000,61.1,3,https://www.otodom.pl/pl/oferta/3-pokoje-balkon-ul-bema-3-pietro-winda-ID4udob,Toruń,no address,Osiedle Młodych
"3-pokojowe mieszkanie 51,04 m2, ul. Strzałowa os. Sosnowy Las",599000,51.04,3,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-51-04-m2-ul-strzalowa-os-sosnowy-las-ID4vdU5,Toruń,ul. Strzałowa ,Rudak
"Jar, 2 pokoje z ogródkiem",384466,33.45,2,https://www.otodom.pl/pl/oferta/jar-2-pokoje-z-ogrodkiem-ID4x1zC,Toruń,ul. Jana Heweliusza ,Wrzosy
"2 pokoje wolne od zaraz, świetna lokalizacja!",349000,38,2,https://www.otodom.pl/pl/oferta/2-pokoje-wolne-od-zaraz-swietna-lokalizacja-ID4vSrm,Toruń,ul. Jana Matejki ,Bydgoskie Przedmieście
2-pokojowe mieszkanie 35m2 + balkon Bezpośrednio,no price,35.4,2,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-35m2-balkon-bezposrednio-ID4uEyP,Toruń,ul. Jana Heweliusza ,Wrzosy
"Mieszkanie, 61 m², Toruń",440000,61,3,https://www.otodom.pl/pl/oferta/mieszkanie-61-m-torun-ID4vTnj,Toruń,no address,Stare Miasto
Osiedle Maureska | mieszkanie 2-pok. | C.55,no price,35.44,2,https://www.otodom.pl/pl/oferta/osiedle-maureska-mieszkanie-2-pok-c-55-ID4waZl,Toruń,ul. Konrada Grasera ,Wrzosy
Odbiór w lipcu/3km do Umk/obok autobus,238590,25,1,https://www.otodom.pl/pl/oferta/odbior-w-lipcu-3km-do-umk-obok-autobus-ID4vBtm,Toruń,no address,Wrzosy
Odbiór w lipcu/3km do Rynku/obok uczelni,245935,25.3,1,https://www.otodom.pl/pl/oferta/odbior-w-lipcu-3km-do-rynku-obok-uczelni-ID4vbmD,Toruń,no address,Stare Miasto
"Sprzedam mieszkanie bezpośrednio, 3 pokoje, balkon",749000,65,3,https://www.otodom.pl/pl/oferta/sprzedam-mieszkanie-bezposrednio-3-pokoje-balkon-ID4uqrv,Toruń,no address,Stawki
Wyjątkowe mieszkanie w kamienicy. Sprzedam bezpośrednio,467000,48,2,https://www.otodom.pl/pl/oferta/wyjatkowe-mieszkanie-w-kamienicy-sprzedam-bezposrednio-ID4vSYr,Toruń,ul. Legionów ,Mokre
Mieszkanie w budynku STASZICA 9 APARTAMENTY,541629,54.71,3,https://www.otodom.pl/pl/oferta/mieszkanie-w-budynku-staszica-9-apartamenty-ID4vA36,Toruń,ul. ks. Stanisława Staszica ,Mokre
"Os. Młodych, praktyczne, inwestycja lub dla siebie",415700,46.2,2,https://www.otodom.pl/pl/oferta/os-mlodych-praktyczne-inwestycja-lub-dla-siebie-ID4wzmo,Toruń,ul. Konstantego Ildefonsa Gałczyńskiego ,Osiedle Młodych
"Komfortowe, 4 pokoje, Słoneczne Tarasy, wysoki parter, do wprowadzenia",855000,79.26,4,https://www.otodom.pl/pl/oferta/komfortowe-4-pokoje-sloneczne-tarasy-wysoki-parter-do-wprowadzenia-ID4vE82,Toruń,ul. Jana Sobieskiego ,Jakubskie Przedmieście
"Toruń, Jar, 2 pokoje do wejścia, inwestycyjne",410000,35.93,2,https://www.otodom.pl/pl/oferta/torun-jar-2-pokoje-do-wejscia-inwestycyjne-ID4vmPe,Toruń,ul. Henryka Strobanda ,Wrzosy
"3 pokojowe mieszkanie, Bydgoskie Przedmieścia",699000,83,3,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-bydgoskie-przedmiescia-ID4x1g8,Toruń,ul. ks. Stanisława Kujota ,Bydgoskie Przedmieście
3-pokojowe słoneczne mieszkanie 5 min od Starówki,615000,64,3,https://www.otodom.pl/pl/oferta/3-pokojowe-sloneczne-mieszkanie-5-min-od-starowki-ID4vKr0,Toruń,ul. Grudziądzka ,Koniuchy
"Jakubskie |Piernikowe Osiedle|3 Pokoje - 74,89 m2",970000,74.89,3,https://www.otodom.pl/pl/oferta/jakubskie-piernikowe-osiedle-3-pokoje-74-89-m2-ID4x1aG,Toruń,no address,Jakubskie Przedmieście
Atrakcyjne w cegle na Jakubskim z opcją 3 pokoi,370000,52.8,2,https://www.otodom.pl/pl/oferta/atrakcyjne-w-cegle-na-jakubskim-z-opcja-3-pokoi-ID4vKmG,Toruń,no address,Jakubskie Przedmieście
Przy Umk- 2 pokoje-Krasińskiego,309000,31,2,https://www.otodom.pl/pl/oferta/przy-umk-2-pokoje-krasinskiego-ID4wq7o,Toruń,no address,Stare Miasto
Głowackiego 48 m2 - Trzy Rozkładowe Pokoje,379000,48,3,https://www.otodom.pl/pl/oferta/glowackiego-48-m2-trzy-rozkladowe-pokoje-ID4u8yf,Toruń,no address,Chełmińskie Przedmieście
Gotowiec - 3 Pokoje- Kup- Wynajmuj,479000,48,3,https://www.otodom.pl/pl/oferta/gotowiec-3-pokoje-kup-wynajmuj-ID4scIn,Toruń,no address,Chełmińskie Przedmieście
Zieleniec - Trzy Pokoje - Pierwsze Piętro Umk,535000,54,3,https://www.otodom.pl/pl/oferta/zieleniec-trzy-pokoje-pierwsze-pietro-umk-ID4vMfZ,Toruń,no address,Stare Miasto
Mokre - 3 Pokoje Po Remoncie - Parter,495000,48.2,3,https://www.otodom.pl/pl/oferta/mokre-3-pokoje-po-remoncie-parter-ID4vSWN,Toruń,no address,Stare Miasto
⭐Zaraz Gotowe 3 pokoje + GARAŻ GRATIS + UMÓW TERMIN na DNI OTWARTE⭐,512900,49,3,https://www.otodom.pl/pl/oferta/zaraz-gotowe-3-pokoje-garaz-gratis-umow-termin-na-dni-otwarte-ID4x0ZE,Toruń,no address,Wrzosy
